127.0.0.1, 2014-03-23 19:37:44, GET, /py2manager/static/js/calendar.js, HTTP/1.1, 200, 0.004603
127.0.0.1, 2014-03-23 19:37:44, GET, /py2manager/static/css/web2py.css, HTTP/1.1, 200, 0.003722
127.0.0.1, 2014-03-23 19:37:44, GET, /py2manager/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.007957
127.0.0.1, 2014-03-23 19:37:44, GET, /py2manager/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.007137
127.0.0.1, 2014-03-23 19:37:44, GET, /py2manager/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000784
127.0.0.1, 2014-03-23 19:37:44, GET, /py2manager/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002936
127.0.0.1, 2014-03-23 19:37:44, GET, /py2manager/static/images/favicon.ico, HTTP/1.1, 200, 0.001208
127.0.0.1, 2014-03-23 19:37:49, GET, /admin/default/site, HTTP/1.1, 200, 0.076121
127.0.0.1, 2014-03-23 19:37:52, GET, /admin/default/design/py2manager, HTTP/1.1, 200, 0.148640
127.0.0.1, 2014-03-23 19:37:52, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.001640
127.0.0.1, 2014-03-23 19:37:52, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001944
127.0.0.1, 2014-03-23 19:37:52, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.005203
127.0.0.1, 2014-03-23 19:38:11, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.050379
127.0.0.1, 2014-03-23 19:39:46, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.044919
127.0.0.1, 2014-03-23 19:39:46, GET, /py2manager/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.003834
127.0.0.1, 2014-03-23 19:39:46, GET, /py2manager/static/js/jquery.js, HTTP/1.1, 200, 0.000491
127.0.0.1, 2014-03-23 19:39:46, GET, /py2manager/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000337
127.0.0.1, 2014-03-23 19:39:46, GET, /py2manager/static/css/calendar.css, HTTP/1.1, 200, 0.000519
127.0.0.1, 2014-03-23 19:39:46, GET, /py2manager/static/js/web2py.js, HTTP/1.1, 200, 0.000486
127.0.0.1, 2014-03-23 19:39:46, GET, /py2manager/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002034
127.0.0.1, 2014-03-23 19:39:46, GET, /py2manager/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001571
127.0.0.1, 2014-03-23 19:39:46, GET, /py2manager/static/js/calendar.js, HTTP/1.1, 200, 0.004024
127.0.0.1, 2014-03-23 19:39:46, GET, /py2manager/static/css/web2py.css, HTTP/1.1, 200, 0.002060
127.0.0.1, 2014-03-23 19:39:46, GET, /py2manager/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004197
127.0.0.1, 2014-03-23 19:39:46, GET, /py2manager/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001896
127.0.0.1, 2014-03-23 19:39:46, GET, /py2manager/static/images/favicon.ico, HTTP/1.1, 200, 0.000461
127.0.0.1, 2014-03-23 19:39:53, GET, /admin/default/design/py2manager, HTTP/1.1, 200, 0.111496
127.0.0.1, 2014-03-23 19:39:56, GET, /py2manager/default/index, HTTP/1.1, 200, 0.020816
127.0.0.1, 2014-03-23 19:40:07, GET, /py2manager/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000347
127.0.0.1, 2014-03-23 19:40:10, GET, /py2manager/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000346
127.0.0.1, 2014-03-23 19:40:24, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.022045
127.0.0.1, 2014-03-23 19:40:26, GET, /py2manager/default/user/register, HTTP/1.1, 200, 0.068698
127.0.0.1, 2014-03-23 19:40:49, POST, /py2manager/default/user/register, HTTP/1.1, 303, 0.056637
127.0.0.1, 2014-03-23 19:40:49, GET, /py2manager/default/index, HTTP/1.1, 200, 0.051084
127.0.0.1, 2014-03-23 19:41:03, GET, /py2manager/appadmin/index, HTTP/1.1, 303, 0.031373
127.0.0.1, 2014-03-23 19:41:04, GET, /admin/default/index, HTTP/1.1, 200, 0.103557
127.0.0.1, 2014-03-23 19:41:04, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.001434
127.0.0.1, 2014-03-23 19:41:04, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.000749
127.0.0.1, 2014-03-23 19:41:04, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000424
127.0.0.1, 2014-03-23 19:41:04, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.002339
